No    ,Deprem Kodu,Olus tarihi,Olus zamani,Enlem,Boylam,Der(km),xM,MD,ML,Mw,Ms,Mb,Tip,Yer
39,2.02E+13,2024-05-20,28:21.5,38.4903,39.2947,5,4,0,3.9,4,0,0,Ke,BEKCITEPE-SIVRICE (ELAZIG) [South East  1.1 km]
40,2.02E+13,2024-05-15,57:54.7,38.9505,26.0043,7.9,4.5,0,4.5,4.4,0,0,Ke,MIDILLI ADASI GUNEYI (EGE DENIZI)
41,2.02E+13,2024-05-05,58:32.3,38.8872,43.5653,5,4,0,3.9,4,0,0,Ke,CAKIRBEY- (VAN) [South West  2.6 km]
42,2.02E+13,2024-04-28,33:29.0,37.0177,29.7712,6.2,4,0,4,3.9,0,0,Ke,YAZIR-CAVDIR (BURDUR) [South East  2.5 km]
43,2.02E+13,2024-04-26,30:36.2,39.86,40.2348,5,4,0,4,4,0,0,Ke,CADIRKAYA-TERCAN (ERZINCAN) [North East  2.0 km]
44,2.02E+13,2024-04-22,26:29.5,35.813,28.4902,80.9,4.2,0,4.2,4,0,0,Ke,AKDENIZ
45,2.02E+13,2024-04-21,03:32.3,40.4485,36.2232,4.3,4.2,0,4.2,4.1,0,0,Ke,KUZALAN-TURHAL (TOKAT) [North West  2.2 km]
46,2.02E+13,2024-04-19,02:20.2,37.8055,26.8675,5.7,4.4,0,4.4,4.2,0,0,Ke,SISAM ADASI (EGE DENIZI)
47,2.02E+13,2024-04-18,09:53.7,40.0583,35.9963,5,4.2,0,4.2,4.2,0,0,Ke,BUGDAYLI-SULUSARAY (TOKAT) [South West  2.0 km]
48,2.02E+13,2024-04-18,31:43.4,40.0613,36.0377,4,4.4,0,4.4,4.4,0,0,Ke,ARPACIKARACAY-SULUSARAY (TOKAT) [South West  1.4 km]
49,2.02E+13,2024-04-18,43:28.1,40.0583,36.0462,1.6,4,0,4,4,0,0,Ke,ARPACIKARACAY-SULUSARAY (TOKAT) [South West  1.3 km]
50,2.02E+13,2024-04-18,11:23.3,40.0915,35.9867,5,5.8,0,5.7,5.8,0,0,Ke,BUGDAYLI-SULUSARAY (TOKAT) [North West  2.9 km]
51,2.02E+13,2024-04-17,35:45.1,40.064,35.975,2.4,4.1,0,4.1,4.1,0,0,Ke,TEKKEYENI-SULUSARAY (TOKAT) [North East  1.5 km]
52,2.02E+13,2024-04-17,06:58.5,40.062,35.9792,1.1,4.7,0,4.7,4.6,0,0,Ke,TEKKEYENI-SULUSARAY (TOKAT) [North East  1.4 km]
53,2.02E+13,2024-04-17,43:16.4,37.2143,28.734,11.8,4,0,4,3.8,0,0,Ke,KARACAOREN- (MUGLA) [South West  1.8 km]
54,2.02E+13,2024-04-16,09:48.7,38.1437,38.57,5,4.3,0,4.2,4.3,0,0,Ke,ARIKONAK-SINCIK (ADIYAMAN) [North 3.3 km]
55,2.02E+13,2024-04-12,44:27.2,38.2237,38.5572,6.8,4.1,0,4,4.1,0,0,Ke,GULUMUSAGI- (MALATYA) [East 4.0 km]
56,2.02E+13,2024-04-03,48:14.0,38.0172,37.6583,3.5,4.7,0,4.7,4.7,0,0,Ke,KUCUKLU-DOGANSEHIR (MALATYA) [West 3.4 km]
57,2.02E+13,2024-04-02,33:41.6,36.502,27.7022,12.2,4.5,0,4.5,4.3,0,0,Ke,AKDENIZ
58,2.02E+13,2024-03-30,25:03.2,38.4867,39.35,5,4.7,0,4.7,4.7,0,0,Ke,GUNEYKOY-SIVRICE (ELAZIG) [South East  2.9 km]
59,2.02E+13,2024-03-21,20:40.9,39.644,28.7695,4.3,4.1,0,4.1,3.8,0,0,Ke,ADAOREN-DURSUNBEY (BALIKESIR) [South East  1.5 km]
60,2.02E+13,2024-03-20,55:41.5,37.4667,36.9563,7,4,0,4,3.9,0,0,Ke,KOCALAR- (KAHRAMANMARAS) [North West  2.2 km]
61,2.02E+13,2024-03-11,10:17.0,41.5363,36.4025,5,4.4,0,4.4,4.1,0,0,Ke,TAFLAN ACIKLARI-SAMSUN (KARADENIZ)
62,2.02E+13,2024-03-10,55:57.0,36.0885,30.0495,29.9,4.9,0,4.9,4.7,0,0,Ke,KALE ACIKLARI-ANTALYA (AKDENIZ)
63,2.02E+13,2024-03-08,27:11.4,36.4045,28.3972,63,4.6,0,4.6,4.5,0,0,Ke,AKDENIZ
64,2.02E+13,2024-03-07,49:10.1,39.0295,43.703,5,4.1,0,3.9,4.1,0,0,Ke,KEMERKOPRU-MURADIYE (VAN) [North West  2.7 km]
65,2.02E+13,2024-03-05,17:52.8,35.5208,27.396,10.2,4,0,3.9,4,0,0,Ke,AKDENIZ
66,2.02E+13,2024-03-04,38:55.5,39.9817,27.4427,14.2,4.9,0,4.9,0,0,0,Ke,KARASU-YENICE (CANAKKALE) [South West  0.3 km]
67,2.02E+13,2024-03-04,26:04.0,38.212,37.4645,5,4.6,0,4.6,4.6,0,0,Ke,OZBEK-ELBISTAN (KAHRAMANMARAS) [East 1.1 km]
68,2.02E+13,2024-03-03,43:54.5,38.0247,37.6352,5,4.3,0,4.3,4.2,0,0,Ke,GOVDELI-DOGANSEHIR (MALATYA) [East 1.9 km]
69,2.02E+13,2024-03-01,45:09.3,39.6948,43.6955,5,4,0,3.9,4,0,0,Ke,ESKISU-DOGUBAYAZIT (AGRI) [South 3.3 km]
70,2.02E+13,2024-02-28,51:40.5,40.3627,43.291,5,4.3,0,4,4.3,0,0,Ke,YAYLACIK-DIGOR (KARS) [South East  3.9 km]
71,2.02E+13,2024-02-27,09:53.9,40.303,27.0072,6.9,4.5,0,4.5,4.2,0,0,Ke,BEYPINAR-LAPSEKI (CANAKKALE) [South East  1.2 km]
72,2.02E+13,2024-02-25,58:02.5,38.9183,43.5002,5,4,0,3.9,4,0,0,Ke,VAN GOLU
73,2.02E+13,2024-02-23,14:32.2,40.4087,29.172,5,4.1,0,4.1,3.9,0,0,Ke,GEMLIK (BURSA) [South East  2.9 km]
74,2.02E+13,2024-02-19,23:21.9,38.0802,37.7807,4.4,4.1,0,4.1,4.1,0,0,Ke,SOGUT-DOGANSEHIR (MALATYA) [North East  2.3 km]
75,2.02E+13,2024-02-19,25:42.1,35.1797,27.7227,5.5,4.2,0,4.2,4.2,0,0,Ke,AKDENIZ
76,2.02E+13,2024-02-16,54:07.9,38.2832,37.7652,3.7,4,0,3.9,4,0,0,Ke,CEVIRME-AKCADAG (MALATYA) [South East  2.8 km]
77,2.02E+13,2024-02-14,56:43.1,35.7493,36.0682,18.8,4.2,0,4.2,4.1,0,0,Ke,TURKIYE-SURIYE SINIR BOLGESI
78,2.02E+13,2024-02-13,32:08.1,35.3278,27.6922,9.4,4,0,3.9,4,0,0,Ke,AKDENIZ
79,2.02E+13,2024-02-11,36:29.7,37.4305,43.8893,5,4.7,0,4.5,4.7,0,0,Ke,CANAKLI- (HAKKARI) [East 1.1 km]
