date,relative_humidity_2m,City
2024-10-21,68.5,Tekirdag
2024-10-21,56.791668,Van
2024-10-20,62.416668,Balikesir
2024-10-20,48.041668,Bingöl
2024-10-20,65.5,Bursa
2024-10-20,62,Çanakkale
2024-10-20,85.958336,Düzce
2024-10-20,49.541668,Erzincan
2024-10-20,37.333332,Hatay
2024-10-20,71.125,Istanbul
2024-10-20,43.375,Izmir
2024-10-20,81.333336,Kocaeli
2024-10-20,50.666668,Manisa
2024-10-20,58.291668,Mus
2024-10-20,86.166664,Sakarya
2024-10-20,65.208336,Tekirdag
2024-10-20,51.666668,Van
2024-10-19,63.25,Balikesir
2024-10-19,52.375,Bingöl
2024-10-19,66.458336,Bursa
2024-10-19,63.333332,Çanakkale
2024-10-19,83.875,Düzce
2024-10-19,51.458332,Erzincan
2024-10-19,36.291668,Hatay
2024-10-19,70.083336,Istanbul
2024-10-19,44.916668,Izmir
2024-10-19,73.166664,Kocaeli
2024-10-19,53.375,Manisa
2024-10-19,57.75,Mus
2024-10-19,83.5,Sakarya
2024-10-19,62.458332,Tekirdag
2024-10-19,56.166668,Van
2024-10-18,64.708336,Balikesir
2024-10-18,55.208332,Bingöl
2024-10-18,66.833336,Bursa
2024-10-18,60.125,Çanakkale
2024-10-18,84.166664,Düzce
2024-10-18,56.041668,Erzincan
2024-10-18,27.833334,Hatay
2024-10-18,68.166664,Istanbul
2024-10-18,40.375,Izmir
2024-10-18,70.791664,Kocaeli
2024-10-18,47.666668,Manisa
2024-10-18,68.916664,Mus
2024-10-18,79.208336,Sakarya
2024-10-18,58.458332,Tekirdag
2024-10-18,72.333336,Van
2024-10-17,62.833332,Balikesir
2024-10-17,79.458336,Bingöl
2024-10-17,70.25,Bursa
2024-10-17,52.458332,Çanakkale
2024-10-17,86.291664,Düzce
2024-10-17,52.625,Erzincan
2024-10-17,52.958332,Hatay
2024-10-17,72.708336,Istanbul
2024-10-17,45.791668,Izmir
2024-10-17,72.875,Kocaeli
2024-10-17,54.5,Manisa
2024-10-17,86.75,Mus
2024-10-17,83.333336,Sakarya
2024-10-17,53.75,Tekirdag
2024-10-17,58.333332,Van
2024-10-16,73.333336,Balikesir
2024-10-16,63.166668,Bingöl
2024-10-16,72.833336,Bursa
2024-10-16,68.25,Çanakkale
